set_name	family	section_source	analyte	polarity	evidence	n_species	n_taxa	n_strains_total	median_n_tested
BacDive_Temp_mesophile	culture_temp	Temp	mesophile	pos	measured	8061	7829	25750	1
BacDive_Shape_rod	shape	Shape	rod	pos	measured	4277	4168	7983	1
BacDive_Prod_indole_negative	production	Prod	indole	neg	measured	4103	3980	12252	1
BacDive_Enzyme_catalase	enzyme	Enzyme	catalase	pos	measured	3921	3828	8262	1
BacDive_Enzyme_urease_negative	enzyme|hydrolysis	Enzyme	urease	neg	measured	3912	3789	29314	1
BacDive_Enzyme_leucine_arylamidase	api_zym|enzyme	Enzyme	leucine arylamidase	pos	measured	3648	3547	17868	1
BacDive_Enzyme_acid_phosphatase	api_zym|enzyme	Enzyme	acid phosphatase	pos	measured	3574	3465	16471	1
BacDive_Enzyme_alpha-mannosidase_negative	api_zym|enzyme	Enzyme	alpha-mannosidase	neg	measured	3536	3422	18749	1
BacDive_Enzyme_alkaline_phosphatase	api_zym|enzyme	Enzyme	alkaline phosphatase	pos	measured	3502	3410	16833	1
BacDive_Enzyme_alpha-galactosidase_negative	api_zym|enzyme	Enzyme	alpha-galactosidase	neg	measured	3491	3392	19513	1
BacDive_Enzyme_lipase_negative	api_zym|enzyme|hydrolysis	Enzyme	lipase	neg	measured	3494	3375	19345	1
BacDive_Oxygen_aerobe	oxygen	Oxygen	aerobe	pos	measured	3260	3213	5992	1
BacDive_Motility_no	motility	Motility	no	pos	measured	3283	3204	5784	1
BacDive_Enzyme_N-acetyl-beta-glucosaminidase_negative	api_zym|enzyme	Enzyme	N-acetyl-beta-glucosaminidase	neg	measured	3312	3187	19954	1
BacDive_Enzyme_alpha-chymotrypsin_negative	api_zym|enzyme	Enzyme	alpha-chymotrypsin	neg	measured	3272	3168	17571	1
BacDive_Enzyme_esterase	api_zym|enzyme	Enzyme	esterase	pos	measured	3205	3123	15792	1
BacDive_NaCl_growth_ge_2pct_NaCl	halophily	NaCl	growth_ge_2pct_NaCl	pos	measured	3160	3116	4173	1
BacDive_Enzyme_naphthol-AS-BI-phosphohydrolase	api_zym|enzyme	Enzyme	naphthol-AS-BI-phosphohydrolase	pos	measured	3196	3104	15332	1
BacDive_GC_GC_high	gc_content	GC	GC_high	pos	measured	3130	3087	3631	1
BacDive_Enzyme_esterase_lipase	api_zym|enzyme	Enzyme	esterase lipase	pos	measured	3057	2977	14184	1
BacDive_Enzyme_beta-galactosidase_negative	api_zym|enzyme	Enzyme	beta-galactosidase	neg	measured	3042	2954	18478	1
BacDive_Uses_glucose	util	Uses	glucose	pos	measured	2968	2938	5107	1
BacDive_Gram_negative	gram	Gram	negative	pos	measured	3000	2936	5709	1
BacDive_Enzyme_beta-glucosidase_negative	api_zym|enzyme	Enzyme	beta-glucosidase	neg	measured	2937	2846	18596	1
BacDive_Enzyme_cystine_arylamidase_negative	api_zym|enzyme	Enzyme	cystine arylamidase	neg	measured	2926	2845	16754	1
BacDive_Uses_nitrate_reduction_negative	util	Uses	nitrate	neg	measured	2863	2774	8955	1
